,company,file_no,opened,closed,coverage,sub_coverage,reason,sub_reason,disposition,conclusion,recovery,status,duration
6933,Farmers Group Property and Casualty Insurance Company,7013890,3/8/2019,3/20/2019,Individual Private Passenger,Liability,Claim Handling,Loss of Use,Compromised Settlement/Resolution,Company Position Upheld,672,Closed,12
6935,"ConnectiCare Insurance Company, Inc",7012650,11/14/2018,1/17/2019,Group,Health Only,Claim Handling,UR MEDICALLY NECESSARY DENIAL,Company Position Substantiated,Voluntary Reconsideration,3414.74,Closed,64
6938,"Anthem Health Plans, Inc",7052891,3/25/2023,4/17/2023,Individual,Health Exchange,Claim Handling,Eligibility of Provider,Company Position Substantiated,Voluntary Reconsideration,0,Closed,23
6941,American National Insurance Company,7011740,3/16/2021,4/5/2021,Group Life,Liability,Marketing & Sales,Misleading Advertising,Question of Fact/Contract/Provision/Legal Issue,Company Position Upheld,0,Closed,20
6944,Arch Insurance Company,7040952,11/17/2021,4/29/2022,Individual Private Passenger,Liability,Claim Handling,Claim Delay,Company Position Substantiated,Company Position Upheld,0,Closed,163
6945,Teachers Insurance Company,7054729,5/31/2023,6/27/2023,Mobile Homeowner,Liability,Claim Handling,Unsatisfactory Settlement/Offer,Complaint Withdrawn,Company Position Upheld,0,Closed,27
6948,Farmers Group Property and Casualty Insurance Company,7005621,12/29/2020,1/20/2021,Individual Private Passenger,Physical Damage,Claim Handling,Unsatisfactory Settlement/Offer,Company Position Substantiated,Company Position Upheld,0,Closed,22
6949,Farmers Group Property and Casualty Insurance Company,7008123,9/22/2021,11/23/2021,Individual Private Passenger,Liability,PolicyHolder Service,Premium Notice/Billing,Company Position Overturned,Corrective Action,0,Closed,62
6950,State Farm Mutual Automobile Insurance Company,7044959,5/6/2022,6/28/2022,Individual Private Passenger,Collision,Claim Handling,Loss of Use,Company Position Overturned,Corrective Action,400,Closed,53
6952,"ConnectiCare Insurance Company, Inc",7013179,10/10/2018,12/5/2018,Group,Health Only,Claim Handling,Claim Denial,Company Position Substantiated,Justified,0,Closed,56
6955,Utica Mutual Insurance Company,7001648,3/25/2020,4/20/2020,Individual Private Passenger,Liability,Underwriting,Premium & Rating,Company Position Substantiated,Company Position Upheld,0,Closed,26
6956,LM General Insurance Company,7049540,11/17/2022,1/18/2023,Individual Private Passenger,Liability,Claim Handling,Claim Delays,Claim Settled,Claim Paid,4526.41,Closed,62
6958,"ConnectiCare Insurance Company, Inc",7015770,7/11/2018,7/25/2018,Individual,Exchange&ndash;Individual Health,Claim Handling,UR Time Delay,Company Position Substantiated,Justified,0,Closed,14
6960,ConnectiCare Inc,7048210,9/26/2022,4/17/2023,Group,Health Only,Claim Handling,CPT Code Issue,Company Position Substantiated,Justified,4875.8,Closed,203
6961,"ConnectiCare Insurance Company, Inc",7013103,1/14/2019,4/17/2019,Group,Health Only,Claim Handling,UR DENIAL OF CLAIM,Company Position Substantiated,Voluntary Reconsideration,0,Closed,93
6964,"ConnectiCare Insurance Company, Inc",7013266,1/15/2019,1/30/2019,Group,Health Only,Claim Handling,UR MEDICALLY NECESSARY DENIAL,Company Position Substantiated,Furnished Information,0,Closed,15
6966,AmGUARD Insurance Company,7049586,11/21/2022,1/3/2023,Homeowners,Liability,Marketing & Sales,Producer Handling,Company Position Substantiated,Company Position Upheld,121,Closed,43
6969,ConnectiCare Inc,7052865,3/23/2023,4/17/2023,Individual,Health Only,Claim Handling,Provider Contract Issue,Company Position Substantiated,Furnished Information,0,Closed,25
6970,American&ndash;Amicable Life Insurance Company of Texas,7046938,8/1/2022,10/3/2022,Individual Life,Whole Life,Marketing & Sales,Suitability,Compromised Settlement/Resolution,Furnished Information,0,Closed,63
6973,Fortitude Life & Annuity Insurance Company,7020799,9/16/2019,10/8/2019,Individual Annuities,Liability,Marketing & Sales,Misrepresentation,Company Position Substantiated,Company Position Upheld,0,Closed,22
6974,Progressive Casualty Insurance Company,7046440,7/11/2022,9/19/2022,Individual Private Passenger,Liability,Claim Handling,Unsatisfactory Settlement,Company Position Substantiated,Enter Arbitration,0,Closed,70
6975,"ConnectiCare Insurance Company, Inc",7016787,8/24/2018,10/26/2018,Individual,Health Only,Claim Handling,Unsatisfactory Settlement/Offer,Company Position Substantiated,Furnished Information,0,Closed,63
6978,"ConnectiCare Insurance Company, Inc",7018038,11/26/2019,12/19/2019,Individual,Exchange&ndash;Individual Health,Claim Handling,Claim Procedure,Company Position Substantiated,Justified,265,Closed,23
6981,"ConnectiCare Insurance Company, Inc",7016415,4/10/2018,5/9/2018,Group,Health Only,Marketing & Sales,Misrepresentation,Company Position Substantiated,Justified,0,Closed,29
6982,Genworth Life Insurance Company,7053455,4/14/2023,5/17/2023,Individual,Long Term Care,Claim Handling,Claim Delay,Company Position Substantiated,Justified,22182,Closed,33
6984,Allstate Property and Casualty Insurance Company,7018736,12/27/2019,1/9/2020,Individual Private Passenger,Liability,Claim Handling,Claim Denial,Company Position Substantiated,Unjustified,0,Closed,13
6985,Republic&ndash;Franklin Insurance Company,7016107,6/6/2018,6/20/2018,Individual Private Passenger,Liability,Claim Handling,Claim Denial,Company Position Substantiated,Corrective Action,0,Closed,14
6991,Travelers Personal Insurance Company,7054897,6/6/2023,6/27/2023,Homeowners,Hazard,Claim Handling,Claim Delay,Claim Settled,Company Position Upheld,0,Closed,21
6992,LM General Insurance Company,7012813,10/2/2018,11/29/2018,Individual Private Passenger,Liability,Underwriting,Premium & Rating,Company Position Substantiated,Company Position Upheld,0,Closed,58
6994,Washington National Insurance Company,7007184,10/26/2021,10/27/2021,Individual Life,Liability,Claim Handling,Claim Denial,Company Position Substantiated,Company Position Upheld,0,Closed,1
6997,UNUM Life Insurance Company of America,7042597,2/2/2022,2/14/2022,A & H,A & H,Claim Handling,Claim Delay,Company Position Substantiated,Company Position Upheld,0,Closed,12
6998,Travelers Personal Insurance Company,7003194,8/10/2020,8/25/2020,Renter/Tenants,Tenant Homeowners,Underwriting,Premium & Rating,Company Position Substantiated,Company Position Upheld,0,Closed,15
7000,Cigna Health and Life Insurance Company,7053767,4/26/2023,5/17/2023,Group,Health Only,Claim Handling,Claim Delay,Company Position Substantiated,Claim Paid,2667.76,Closed,21
7001,State Farm Mutual Automobile Insurance Company,7011271,6/17/2021,7/8/2021,Individual Private Passenger,Liability,Claim Handling,Claim Delay,Company Position Substantiated,No Action Necessary,0,Closed,21
7003,Patrons Mutual Insurance Company of Connecticut,7013448,1/16/2019,2/1/2019,Individual Private Passenger,Liability,Underwriting,Premium & Rating,Company Position Substantiated,Company Position Upheld,0,Closed,16
7005,Hartford Underwriters Insurance Company,7017428,5/8/2018,5/23/2018,Individual Private Passenger,Liability,PolicyHolder Service,Premium Notice/Billing,Company Position Substantiated,Company Position Upheld,0,Closed,15
7007,Permanent General Assurance Corporation,7018636,12/20/2019,1/2/2020,Individual Private Passenger,Liability,Claim Handling,Claim Denial,Company Position Substantiated,Refer&ndash;Judicial/Attorney,0,Closed,13
7008,"ConnectiCare Insurance Company, Inc",7014409,1/30/2019,3/14/2019,Group,Health Only,Claim Handling,UR MEDICALLY NECESSARY DENIAL,Company Position Substantiated,Furnished Information,0,Closed,43
7010,"ConnectiCare Insurance Company, Inc",7016833,4/18/2018,6/13/2018,Group,Health Only,Claim Handling,UR MEDICALLY NECESSARY DENIAL,Company Position Substantiated,Furnished Information,0,Closed,56
7012,MassMutual Ascend Life Insurance Company,7007080,2/21/2018,3/26/2018,Individual Annuities,Liability,Marketing & Sales,Replacement,Company Position Substantiated,Company Position Upheld,0,Closed,33
7013,Amica Mutual Insurance Company,7003294,8/17/2020,9/25/2020,Homeowners,Homeowners,Claim Handling,Claim Denial,Question of Fact/Contract/Provision/Legal Issue,Company Position Upheld,0,Closed,39
7015,UnitedHealthcare Insurance Company,7049635,11/22/2022,12/30/2022,Group,Health Only,Claim Handling,Prompt Pay,Company Position Overturned,Company Position Upheld,6554.68,Closed,38
7018,Progressive Direct Insurance Company,7016598,9/10/2018,10/18/2018,Individual Private Passenger,Liability,Claim Handling,Other,Company Position Substantiated,Company Position Upheld,0,Closed,38
7019,Patrons Mutual Insurance Company of Connecticut,7006670,2/27/2018,3/19/2018,Individual Private Passenger,Liability,Claim Handling,Contributory Comparative Negligence,Company Position Substantiated,Justified,0,Closed,20
7021,"Anthem Health Plans, Inc",7050643,1/9/2023,4/17/2023,A & H,Health Only,Claim Handling,Claim Handling Other,Claim Settled,Claim Paid,0,Closed,98
7023,GEICO Indemnity Company,7049599,11/21/2022,12/22/2022,Individual Private Passenger,Collision,Underwriting,Underwriting/Handling,Company Position Substantiated,Questionable,0,Closed,31
7025,State Farm Fire & Casualty Company,7013813,12/6/2018,3/25/2019,Homeowners,Homeowners,PolicyHolder Service,Unsatisfactory Refund of Premium,Company Position Substantiated,Company Position Upheld,0,Closed,109
7028,Liberty Mutual Personal Insurance Company,7055233,6/20/2023,6/27/2023,Individual Private Passenger,Uninsured Motorists and/or Underinsured Motorists (UM/UIM),Claim Handling,Adjuster Handling,Company Position Substantiated,Coverage Granted,0,Closed,7
7031,Trumbull Insurance Company,7050810,1/17/2023,2/3/2023,Motorhome,Liability,Claim Handling,Claim Delays,Claim Settled,Claim Paid,0,Closed,17
7032,USAA Casualty Insurance Company,7002122,5/15/2020,6/12/2020,Individual Private Passenger,Tenant Homeowners,Underwriting,Nonrenewal,Company Position Substantiated,Company Position Upheld,0,Closed,28
7035,Economy Preferred Insurance Company,7049806,12/1/2022,1/26/2023,Individual Private Passenger,Liability,PolicyHolder Service,Premium Notice/Billing,Company Position Substantiated,Justified,0,Closed,56
7036,Charter Oak Fire Insurance Company (The),7051066,1/23/2023,2/6/2023,Commercial,Liability,Claim Handling,Prompt Pay,Company Position Substantiated,Additional Money Received,362.12,Closed,14
7037,Transamerica Financial Life Insurance Company,7050737,1/12/2023,2/6/2023,Individual,A & H,Claim Handling,Denial,Claim Settled,Claim Paid With Interest,1972.36,Closed,25
7039,"ConnectiCare Insurance Company, Inc",7041123,11/24/2021,12/22/2021,A & H,A & H,Claim Handling,Emergency Services,Company Position Substantiated,Company Position Upheld,0,Closed,28
7047,State Farm Mutual Automobile Insurance Company,7013423,11/28/2018,12/27/2018,Individual Private Passenger,Liability,Claim Handling,Contributory Comparative Negligence,Company Position Substantiated,Refer&ndash;Judicial/Attorney,0,Closed,29
7048,Hanover American Insurance Company,7053010,3/28/2023,5/17/2023,Individual Private Passenger,Liability,Claim Handling,Actual Cash Value Dispute,Claim Settled,Company Position Upheld,200,Closed,50
7049,"ConnectiCare Insurance Company, Inc",7040643,11/8/2021,4/5/2022,A & H,A & H,Marketing & Sales,No Coverage/Premium Paid,Company Position Substantiated,Satisfied,0,Closed,148
7059,"ConnectiCare Insurance Company, Inc",7042082,1/14/2022,3/17/2022,A & H,A & H,Claim Handling,Claim Procedure,Company Position Substantiated,Satisfied,0,Closed,62
7063,"ConnectiCare Insurance Company, Inc",7042302,1/24/2022,3/9/2022,A & H,A & H,Claim Handling,Unsatisfactory Settlement,Claim Settled,Corrective Action,0,Closed,44
7065,"ConnectiCare Insurance Company, Inc",7040858,11/15/2021,12/16/2021,A & H,A & H,Claim Handling,Medical Necessity,Company Position Overturned,Company Position Upheld,0,Closed,31
7070,"Anthem Health Plans, Inc",7001395,3/30/2020,4/3/2020,A & H,Liability,Claim Handling,Unsatisfactory Settlement/Offer,Claim Settled,Company Position Upheld,0,Closed,4
7072,"ConnectiCare Insurance Company, Inc",7040855,11/15/2021,12/23/2021,A & H,A & H,Claim Handling,UR DENIAL OF CLAIM,Company Position Overturned,Claim Paid,0,Closed,38
7077,"ConnectiCare Insurance Company, Inc",7041107,11/23/2021,12/22/2021,A & H,A & H,Claim Handling,Denial,Claim Settled,Claim Paid,0,Closed,29
7079,MassMutual Ascend Life Insurance Company,7051951,2/22/2023,4/17/2023,Individual Annuities,Fixed,Marketing & Sales,Misrepresentation,Company Position Substantiated,Company Position Upheld,0,Closed,54
7084,Aetna Health Inc,7054748,6/1/2023,6/27/2023,Individual,Medicare Advantage,Claim Handling,Claim Denial,Company Position Substantiated,Company Position Upheld,0,Closed,26
7086,"ConnectiCare Insurance Company, Inc",7007714,9/15/2021,2/10/2022,Individual,Health Only,Claim Handling,Claim Procedure,Company Position Substantiated,Furnished Information,0,Closed,148
7089,State Farm Mutual Automobile Insurance Company,7013006,10/4/2018,11/6/2018,Individual Private Passenger,Liability,Claim Handling,Claim Delay,Company Position Substantiated,Justified,0,Closed,33
7090,Progressive Direct Insurance Company,7047831,9/9/2022,10/7/2022,Individual Private Passenger,Liability,Claim Handling,Unsatisfactory Settlement/Offer,Company Position Substantiated,Company Position Upheld,0,Closed,28
7092,"ConnectiCare Insurance Company, Inc",7042329,1/24/2022,2/9/2022,Group,Health Only,Claim Handling,Preventive Care,Claim Settled,Claim Paid,479.01,Closed,16
7095,"ConnectiCare Insurance Company, Inc",7041023,11/21/2021,12/14/2021,A & H,A & H,Claim Handling,Denial,Claim Settled,Company Position Upheld,197.74,Closed,23
7105,Plymouth Rock Home Assurance Corporation,7049799,11/30/2022,1/6/2023,Homeowners,Hazard,Claim Handling,Claim Denial,Company Position Substantiated,Refer To Appraisal,0,Reopened,37
7106,Amica Mutual Insurance Company,7054924,6/6/2023,6/27/2023,Individual Private Passenger,Liability,Claim Handling,Claim Procedure,Company Position Substantiated,Corrective Action,0,Closed,21
7107,Quincy Mutual Fire Insurance Company,7052821,3/21/2023,4/17/2023,Homeowners,Liability,Claim Handling,Claim Denial,Company Position Substantiated,Company Position Upheld,0,Closed,27
7108,Hartford Life and Accident Insurance Company,7050921,1/19/2023,2/6/2023,Group,Disability Income,Claim Handling,Claim Procedure,Company Position Substantiated,Company Position Upheld,0,Closed,18
7110,"ConnectiCare Insurance Company, Inc",7016322,7/18/2018,8/22/2018,A & H,Liability,Claim Handling,UR Procedure,Company Position Substantiated,Justified,0,Closed,35
7111,LM General Insurance Company,7006797,1/8/2018,1/22/2018,Individual Private Passenger,Liability,Underwriting,Premium & Rating,Company Position Substantiated,Company Position Upheld,0,Closed,14
7113,Cigna Health and Life Insurance Company,7048462,10/6/2022,1/10/2023,Group,A & H,Claim Handling,Claim Denial,Claim Settled,Coverage Granted,23756.04,Closed,96
7114,"Anthem Health Plans, Inc",7051296,1/31/2023,2/6/2023,Group,A & H,Claim Handling,Medical Necessity,Company Position Substantiated,Company Position Upheld,0,Closed,6
7115,"ConnectiCare Insurance Company, Inc",7016117,6/7/2018,6/22/2018,Group,Health Only,Claim Handling,Claim Denial,Company Position Substantiated,Voluntary Reconsideration,4989,Closed,15
7122,"Anthem Health Plans, Inc",7047890,9/13/2022,10/18/2022,Individual,Medicare Supplement(Policies or Certs),Claim Handling,Claim Delay,Company Position Substantiated,Company Position Upheld,0,Closed,35
7124,AmGUARD Insurance Company,7050290,12/21/2022,1/6/2023,Homeowners,Windstorm,Claim Handling,Claim Delay,Company Position Substantiated,Claim Paid,0,Closed,16
7127,Nationwide Property & Casualty Insurance Company,7005332,1/6/2021,1/12/2021,Homeowners,Homeowners,Claim Handling,Claim Denial,Company Position Substantiated,Company Position Upheld,0,Closed,6
7128,"ConnectiCare Insurance Company, Inc",7007171,10/26/2021,4/5/2022,Group,Health Only,Claim Handling,Claim Procedure,Claim Settled,Claim Paid,711.06,Closed,161
7129,"ConnectiCare Insurance Company, Inc",7009059,2/2/2021,3/8/2021,A & H,Liability,Claim Handling,Eligibility of Provider,Company Position Substantiated,Justified,0,Closed,34
7131,Cigna Health and Life Insurance Company,7050936,1/19/2023,2/6/2023,Group,A & H,Claim Handling,Medically Necessary,Company Position Overturned,Coverage Granted,0,Closed,18
7133,CSAA General Insurance Company,7010775,3/2/2021,6/1/2021,Individual Private Passenger,Physical Damage,Claim Handling,Claim Delay,Company Position Substantiated,Company Position Upheld,343.91,Closed,91
7135,Standard Fire Insurance Company (The),7052001,2/23/2023,3/13/2023,Individual Private Passenger,Comprehensive,Underwriting,Cancellation,Company Position Substantiated,Cancellation Withdrawn,0,Closed,18
